Company_Brand,Sector,Stage,Amount,HeadQuarter,What_it_does,year_founded,Investor
Ethereum Push Notification Service,Blockchain startup,Seed,750000.0,Mumbai,EPNS is a decentralized notification protocol,2020,Prolific angel investors
Mihup,Conversational AI platform,Series A,1500000.0,Kolkata,Intelligence-based personal mobile assistant app,2020,"Ideaspring Capital, Accel"
RuralBasket,E-commerce,,500000.0,Tirunelveli,Naturally grown and healthy products directly from farmers.,2020,Nativelead Foundation
WayCool Foods,Agriculture,Series B,7800000.0,Chennai,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,"FMO, IndusInd Bank"
Infra.Market,Real Estate,Series B,20000000.0,Thane,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,"Trifecta Capital Advisors, Nexus Venture Partners"
Info Edge Venture,Finance,,50000000.0,Noida,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,Lightbox
Clovia,E-commerce,Pre-series C,4000000.0,Noida,Clovia is the online lingerie retailer,2020,"Golden Birch Investments, She Capital"
Codingal,EdTech,Seed,560000.0,Bangalore,Coding education platform for K-12 students,2020,"Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator."
CRED,Finance,Series C,80000000.0,Bangalore,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,"General Catalyst, Ribbit Capital"
Vistaar Finance,Finance,,30000000.0,Bangalore,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,FMO
Let's Dive,SaaS,,1700000.0,Bangalore,A platform for remote employee engagement and building team culture,2020,Surge
Habitat,EdTech,Seed,600000.0,,"Habitat, a social learning edtech platform for civil service aspirants",2020,"Unitus Ventures, Whiteboard Capital"
SAWO Labs,SaaS,Seed,600000.0,Mumbai,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,"StartupXseed Ventures, 100X.VC"
Signzy,AI platform,,3000000.0,Bangalore,Signzy are creating 'building blocks for a Digital Trust system.,2020,"Stellaris Venture Partners, Mastercard"
KopyKitab,EdTech,,,Bangalore,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,"Paula Mariwala, Siddharth Anand"
Kyt,EdTech,,2500000.0,Singapore,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,Sequoia Capital India’s Surge
Raskik,Fusion beverages,Pre-series A,1000000.0,,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,"Venture Catalysts, 9Unicorns"
GetWork,HR,Pre-seed,40000.0,Gurgaon,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,India Accelerator
Mobile Premier League (MPL),Gaming,Series B,500000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Pegasus Tech Ventures, Base Partners"
Pravasirojgar,Job portal,,33000000.0,,Initiative for blue-collar job workers,2020,GoodWorker.
Omatra Hotels,Hospitality,Seed,,Kolkata,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,Capify
Awign,Job portal,Pre-series B,,Bangalore,Operations and manpower outsourcing startup,2020,"Unitus Ventures, Work10M"
NewsReach,Digital Media,Seed,1500000.0,Gujarat,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,2020,"Mumbai Angels, JITO Angel Network."
Cashfree,FinTech,Series B,35000000.0,Bangalore,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,"George Osborne, Smilegate Investment"
Credgenics,FinTech,Pre-series A,3000000.0,New Delhi,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel India, Breadlake Ventures"
GeoIQ,AI startup,Seed,300000.0,Bangalore,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,"Ankur Mittal, Mitesh Shah"
Country Delight,Dairy startup,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"IIFL Asset Management, Matrix Partners"
Quintype,Content management,Series A,3500000.0,Bangalore,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,IIFL AMC
CARS24,Retail,Series E,200000000.0,Haryana,CARS24 is an India-based platform for selling used cars.,2020,"Global Car Group, Freemark holdings"
Astrogate Labs,Spacetech,,,Bangalore,Astrogate Labs provides high-quality products related to space infrastructure.,2020,"Venture Catalysts, Speciale Invest"
Power Gummies,HealthTech,,,New Delhi,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,Venture Catalysts
Cityflo,Logistics,Series A,7000000.0,Mumbai,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,"Anupam Mittal, India Quotient"
AlgoBulls,Trading platform,,200000.0,Mumbai,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,Venture Catalysts
Credgenics,FinTech,Pre-series A,3000000.0,Gurgaon,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel India, Breadlake Ventures"
Inntot,Tech,,,Kerala,"Inntot Technologies, is a technology driven company.",2020,Unicorn India Ventures
Ensuredit,FinTech,Pre-series A,300000.0,Gurgaon,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,Venture Catalysts
Shipsy,AI Company,Series A,6000000.0,Gurgaon,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,"DTDC, Udaan Angel Partners"
ERPNext,Tech,,1000000.0,Mumbai,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,Rainmatter
LightSpeedAI,Photonics startup,,,Bangalore,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,"YourNest, growX ventures"
Grip Invest,FinTech,Pre-series A,,Gurgaon,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,Gemba Capital
Unacademy,EdTech,,,Bangalore,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,"Dragoneer Investment Group, Tiger Global Management"
Yellow Classes,EdTech,Pre-series A,1300000.0,Gurgaon,New-age fun-learning platform for kids.,2020,India Quotient
Plum,HealthTech,,4100000.0,Bangalore,High quality health insurance and health benefits,2020,"Surge, Tanglin Venture Partners"
STAGE,Entertainment,,1000000.0,Indore,STAGE is an Indian language content platform for artist-led entertainment.,2020,Venture Catalysts
Nykaa,Cosmetics,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,"Alia Bhatt, Katrina Kaif"
Kaagaz Scanner,Scanning app,,575000.0,,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,Pravega Ventures
NIRA,FinTech,,1000000.0,Bangalore,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,"Techstars Bangalore Accelerator, Techstars"
Prolixr,Skincare startup,Seed,,Gurgaon,A premium skincare brand committed towards building innovative skin care wellness.,2020,"Alfa Ventures, Divij Bajaj"
Byju's,EdTech,,200000000.0,Bangalore,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,"Owl Ventures, Tiger Global Management"
DaMENSCH,E-commerce,,6000000.0,Bangalore,DaMENSCH is a designer and seller of men's apparel.,2020,"Whiteboard Capital, Matrix Partners India"
Country Delight,Food & Beverage,Series C,25000000.0,Haryana,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,2020,"Orios Venture Partners, Matrix Partners India"
SignalX,AI startup,Seed,800000.0,Hyderabad,SignalX offers an artificial intelligence-powered SaaS platform,2020,"9Unicorns, 3Lines VC, Hyderabad Angels"
Lancify,EdTech,,300000.0,Bangalore,Lancify is building the world's strongest young workforce,2020,"Techstars, Techstars Bangalore Accelerator"
Krimanshi,Biotechnology company,Seed,600000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,"Rajasthan Venture Capital Fund, AIM Smart City"
Instoried,AI startup,Pre-series A,1000000.0,Bangalore,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,"Venture Catalysts, SOSV"
PlayerzPot,Gaming startup,Series A,3000000.0,Mumbai,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,La Gajjar Group.
Instamojo,FinTech,,,Bangalore,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,"BASE, Gunosy Capital"
Turtlemint,HealthTech,,30000000.0,Mumbai,Turtlemint has built Indian personalized insurance platform,2020,"Nexus Venture Partners, Dream Incubator"
Arata,E-commerce,Pre-series A,1000000.0,New Delhi,Arata is an e-commerce site for beauty products and cosmetics.,2020,DSG Consumer Partners
MPL,Gaming startup,,5000000.0,Bangalore,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,"Pegasus Tech Ventures, Base Partners"
True Balance,FinTech,,28000000.0,Gurgaon,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,"IBK Capital, SB Partners"
Thrive,FoodTech,Pre-series A,,Mumbai,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,"Whiteboard Capital, Ahimsa Capital"
Kitchens Centre,Proptech,Pre-series A,,New Delhi,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,"Jonathan Swanson, Ankush Gera"
Prescribe,HealthTech,,100000.0,Chennai,Provide online services to patients by leveraging WhatsApp.,2020,Titan Capital
Nepra,CleanTech,Series C,18000000.0,Ahmedabad,NEPRA Resource Management provides waste management solutions in India.,2020,"Asha Impact, Aavishkaar Venture Capital"
inFeedo,SaaS,,3200000.0,Gurgaon,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,"Peyush Bansal, Ritesh Malik"
Shilpa Sciences,HealthTech,Pre-series A,,Bangalore,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,AngelList India
Arzooo,Tech Startup,,,Bangalore,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,"3Lines, Jabbar Internet Group"
MindTickle,SaaS,Series B,100000000.0,Pune,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,"Canaan Partners, NewView Capital"
Slice,FinTech,Series B,5000000.0,Bangalore,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,"Better Capital, Gunosy"
Rapawalk,E-commerce,Seed,300000.0,Bangalore,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,"Sanjay Ramakrishnan, Ravi Garikipati"
Oga Fit's,Fitness startup,Pre-series A,,Bangalore,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,9Unicorns
LAVAL,Cosmetics,Pre-series A,,Bangalore,"Laval Cosmetics, affordable makeup for all ages",2020,Jazal Group
Stride Ventures,Finance,,80000000.0,New Delhi,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,Small Industries Development Bank of India
BlackSoil,FinTech,,10000000.0,Mumbai,Blacksoil Advisory is an independent boutique advisory firm.,2020,"Accel India, Breadlake Ventures"
Biocon,Health,,15000000.0,Bangalore,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,Goldman Sachs
Clientjoy,SaaS,Pre-series A,800000.0,Gujarat,Client Management Software For Modern Agencies.,2020,"LetsVenture, Jyotsna Bapat"
Xpressbees,E-commerce,,100000000.0,Pune,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,"Alibaba Group, InnoVen Capital"
GalaxyCard,FinTech,Seed,,Gurgaon,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,India Accelerator
Wellness Forever,HealthTech,,100000000.0,Mumbai,Wellness Forever is the one-stop destination for wellness,2020,"Poonawalla, Allana Group"
MoooFarm,Agriculture,Pre-seed,500000.0,Gurgaon,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,"Navus Ventures, Rockstart"
BitClass,PaaS startup,Seed,2000000.0,Bangalore,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,"AET Japan, Figure Eight Investments, Waterbridge Ventures"
Gonuts,Entertainment,Seed,400000.0,Mumbai,Personalised Video shoutouts from favourite celebrity.,2020,"Sweta Rau, Archana Priyadarshini"
Uolo,EdTech,Seed,2000000.0,Bangalore,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,"Rajul Garg, Purvi Capital"
Kirana King,Retail,Pre-series A,900000.0,Jaipur,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,Rajasthan Venture Capital Fund
Jade Forest,Beverages,Seed,250000.0,Delhi,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,Rukam Capital
iKure,HealthTech,,,Kolkata,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,"Ratan Tata, Inflection Point Ventures, Ankur Mittal"
FrontRow,EdTech,Seed,3200000.0,Bangalore,"Comprehensive courses, taught by idols.",2020,"Lightspeed, Elevation, Deepika Padukone"
Reliance Retail,E-commerce,,10000000.0,Mumbai,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,"Abu Dhabi Investment Authority, GIC"
TUBBR,Social Media,,,Frisco,World's First Personal Social Network,2020,Global Ascent Partners
Ather Energy,Automotive,Series D,35000000.0,Bangalore,Ather Energy is a manufacturer of electric scooters.,2020,HeroMotoCorp Ltd and Sachin Bansal
Routematic,SaaS,,2000000.0,Bangalore,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,"VAMM Ventures, Naresh Malhotra"
LivFin,FinTech,,4700000.0,New Delhi,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,"DEG, KFW DEG"
Universal Sportsbiz Pvt Ltd,Fashion,,,Bangalore,A fashion startup based in Bengaluru.,2020,"Accel, Alteria Capital"
Lattu Kids,EdTech,,,Mumbai,Lattu kids is an edutainment platform for preschool kids.,2020,Mumbai Angels Network
Eggoz,Food & Beverage,Pre-series A,1500000.0,Indore,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,"AVANA Capital, Rebright Partners"
Steradian Semiconductors,Deeptech,,,Bangalore,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,Endiya Partners.
CHARGE+ZONE,EV startup,Pre-series A,3000000.0,Gujarat,"Charge+Zone provides services in renewable energy solutions, product development, and software engineering company.",2020,Mumbai Angels
Stones2milestones,EdTech,,2000000.0,Gurgaon,Stones2milestones is India (Delhi) Based EdTech Company,2020,"Menterra Venture Advisors, Emandi Sankara Rao"
Udacity,EdTech,Series B,75000000.0,California,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,"Hercules Capital, Inc.Bertelsmann"
AjnaLens,AR/VR startup,,1000000.0,Thane,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,"Mohsin Hani Al Bahrani, MoD"
Gully Network,E-commerce,Pre-series A,1200000.0,Bangalore,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,"CP Ventures, Orios Venture Partners"
TurboHire,Recruitment startup,Seed,1000000.0,Hyderabad,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,"Kia Ora Ventures, Pentathlon Ventures"
Traya,HealthTech,Seed,,Mumbai,work with our customers closely to get their hair health sorted for long-term effective results,2020,"Kae Capital, Whiteboard Capital"
Charcoal Eats,QSR startup,,2000000.0,Mumbai,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,Lokmat Investments
Mitron TV,Video platform,,,Bangalore,Mitron is a free short videoplatform for next generation,2020,9Unicorns
Svami,Food & Beverage,,800000.0,Mumbai,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,"Niren Shah, Rukam Capital Trust"
Dhurnia,EdTech,,100000.0,Dhingsara,Developer of an online learning platform intended for various competitive exam preparations.,2020,"Chandigarh Angels Network, Modulor Capital"
Expertrons,EdTech,,,Mumbai,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,"Rohit Chanana, Sukanta Ganguly"
Leena AI,AI startup,,8000000.0,New York,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,"Alan Patricof, Jim Moffatt"
Bizlog,Logistics,,1000000.0,Bangalore,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,IAN Fund
Tamasha.live,Gaming,,300000.0,Mumbai,"Tamasha offers a platform for influencers to host live, video based, real money contests and games.",2020,"9Unicorns, Titan Capital, FirstCheque"
Fedo,AI startup,,1000000.0,Bangalore,Artificial Intelligence based Credit Score for Health,2020,AIM Smart City
FabHotels,Hospitality,,1000000.0,Gurgaon,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,"RB Investments Pte. Ltd, Goldman Sachs"
Freshokartz,Agriculture,Pre-series A,1000000.0,Jaipur,"Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,"Rajasthan Venture Capital Fund, Innovana Thinklabs"
FlexiLoans,FinTech,Series B,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,>Vikram Sud
Agrix,Agriculture,,,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,Maple Capital Advisors
BharatAgri,Agriculture,Pre-series A,,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,"021 Capital, India Quotient"
FreshtoHome,E-commerce,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,"Ascent Capital, Iron Pillar"
Credable,FinTech,,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,Oaks Asset Management
Railofy,Logistics,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,"Roots Ventures, Better Capital"
Finova Capital,FinTech,,55000000.0,Jaipur,Finova Capital is a non-banking financial company.,2020,"Sequoia Capital India, Faering Capital"
Teachmint,EdTech,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,Lightspeed India
Peel-Works,E-commerce,,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,"CESC Ventures, Brun Raschle"
Janani,Fertility tech,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,9Unicorns
Credgenics,FinTech,Seed,3300000.0,Gurgaon,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel, Sunder Nookala"
Finelistings,Luxury car startup,,,New Delhi,A Used Luxury Car Marketplace,2020,Justdial
Wellversed,Health,Pre-series A,,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,"KLUB Works, Shankar Narayanan"
Jumbotail,E-commerce,Series B,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,Nexus Venture Partners and 23 High Networth Individuals (HNIs)
Winzo,Gaming startup,,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,"Makers Fund, Courtside Ventures"
mCaffeine,Cosmetics,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,"RPSG Ventures, Amicus Capital"
Pocket FM,FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,"Times Group, Lightspeed"
Snackible,Health,,,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,"Mumbai Angels, Murali Nair"
FreshtoHome,E-commerce,,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,"Ascent Capital, Iron Pillar"
Jumbotail,Retail,Series B,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,"Nexus Venture Partners, Capria Ventures"
Nykaa,E-commerce,,,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,"Katrina Kaif, Steadview Capital"
TagZ Foods,Food,,,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020,"Exfinity Venture Partners, Shesh Kondi"
Genius Teacher,EdTech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Sandeep Tandon, Daniel Lapus"
Krimanshi Feeds,Nutrition sector,,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,"Rajasthan Venture Capital Fund, AIM Smart City"
Origo,Agriculture,Series B,4000000.0,Gurgaon,Provider of marketing and warehousing services for agricultural commodities.,2020,Northern Arc Capital
GetVantage,FinTech,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,"Samyakth Capital, Venture Catalysts"
Betterplace,Tech platform,Series B,10000000.0,Bangalore,Developer of a digital verification platform designed to manage the semi-formal workforce.,2020,Jungle Ventures
Biddano,Health,Pre-series A,600000.0,Mumbai,India's 1st tech-enabled healthcare logistics platform.,2020,Windrose Capital
InVideo,Video,Series A,15000000.0,Mumbai,InVideo enables you to transform your content into great videos.,2020,"Base Partners, Sequoia Capital India"
Arzooo,Retail,Series A,7500000.0,Bangalore,"Retail tech platform empowering 300,000+ small retailers in electronics space to compete with big organised players and increase sales",2020,"3Lines, Jabbar Internet Group"
Hubilo,Tech,Seed,4500000.0,San Francisco,World’s smartest virtual event platform that brings Experience & Intelligence together,2020,"Nishant Rao, Jonathan Boutelle"
BASIC Home Loan,FinTech,Seed,5000000.0,Gurgaon,"A platform for automating home loans for middle and low-income households in India,",2020,Picus Capital
Ketos,AI startup,,18000000.0,San Francisco,KETOS provides hardware and software analytics solutions and real-time data for usage and flow across water systems.,2020,"Citi Ventures, Illuminated Funds Group"
SUGAR cosmetics,Cosmetics,Series B,2000000.0,Mumbai,It is a cruelty-free makeup brand providing cosmetics that is high on style and higher on performance.,2020,"A91 Partners, RB Investments Pte. Ltd"
Signzy,FinTech,,5400000.0,Bangalore,It is creating 'building blocks for a Digital Trust system.,2020,"GenNext Ventures, Contrarian Drishti Partners"
Ahaguru,EdTech,Series A,,Chennai,"It is conducting IIT JEE Coach for Physics, Math and Chemistry easily.",2020,Anand Mahindra
Tekion,AI startup,Series C,150000000.0,San Ramon,It is a cloud-built platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience.,2020,"Alliance Ventures, Storm Ventures"
Brighteye Ventures,EdTech,,5400000.0,Paris,Education technology venture capital firm.,2020,Tandem
EzeRx,Medtech,Seed,200000.0,Kolkata,Developer and manufacturer of medical devices,2020,"Indian Oil Corporation, Krishna Chakravarty"
VitalTech,HeathTech,Seed,3000000.0,Plano,"VitalTech is a develop technologies that empower patients to better care for their safety,",2020,Tech Mahindra
Genius Teacher,EdTech,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Whiteboard Capital, VKG Ventures LLP."
Ultraviolette Automotive,Automotive,Series B,4000000.0,Bangalore,Ultraviolette Automotive is a technology startup working on electric two-wheelers and energy infrastructure.,2020,TVS Motor Company
Tring,Social Media,,,Mumbai,"Tring is a celebrity engagement platform, for all occasions including birthday, anniversaries, get well soon messages.",2020,"Sujeet Kumar, Hemesh Singh"
Rare Planet,Retail,Pre-series A,400000.0,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,Venture Catalysts
GoodGamer,Gaming,Seed,2500000.0,Bangalore,GoodGamer is India's first Daily Fantasy Sports and true Esports gaming platform.,2020,"Pegasus Tech Ventures, Base Partners"
InnAccel,Medtech,Pre-series A,1500000.0,Bangalore,"A building a portfolio of novel medical devices designed, engineered, and priced for global Emerging Markets.",2020,Mount Judi Ventures
Tiliter,Retail,,7500000.0,Sydney,Software that uses computer vision to recognise products without barcodes,2020,"AngelList, Investec"
Slintel,Sles and marketing,,4200000.0,San Francisco Bay Area,"Slintel, a leader in capturing technographics-powered buying intent, helps companies uncover the 3% of active buyers in their target market.",2020,"Accel, Stellaris Venture Partners"
SoOLEGAL,LegalTech,,4000000.0,New Delhi,"SoOLEGAL is a global integrated directory of lawyers, legal aid organizations, and Law firms.",2020,I2I Capitals
HobSpace,EdTech,Seed,200000.0,Mumbai,India's Activity Hub for Kids,2020,Artha Venture
Supplynote,SaaS,Seed,500000.0,Noida,Supplynote is India's leading procurement platform with a unique stack of SAAS and E-commerce to solve the procurement problem,2020,"MOX, SOSV"
Hire Me Car,Car Service,Seed,,Noida,India's largest cloud based digital discovery and services provisioning platform for the taxi rental,2020,"Clairvest Group, Ontario Centres of Excellence"
ShopUp,E-commerce,Series A,22000000.0,Bangaldesh,"ShopUp provides easy access to B2B sourcing, last-mile logistics, digital credit, and business management solutions to small businesses.",2020,"Flourish Ventures, Lonsdale Capital"
Harmonizer India,Tech Startup,,,Bangalore,"Energy-efficient solutions based on the Artificial Intelligence, Machine Learning and Internet of Things technology,",2020,Kapil Dev
Zomato,FoodTech,,52000000.0,Gurgaon,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants.,2020,"Kora, Tiger Global Management"
Dukaan,Tech Startup,Seed,6000000.0,Mumbai,Developer of an android application designed for businesses to sell online.,2020,"Lightspeed, Matrix Partners."
CredR,Bike marketplace,,2000000.0,Mumbai,India’s Only 100% Inspected and Certified Used Bikes Marketplace.,2020,"Eight Roads Ventures, On Mauritius"
Satyukt,Agriculture,Seed,500000.0,Bangalore,An agritech company that provides business to business (B2B) agricultural data,2020,"NABVENTURES, Social Alpha (India)"
RACEnergy,Automotive,,,Hyderabad,RACEnergy builds and deploys battery swapping infrastructure for use in various segments of vehicles.,2020,"growX Ventures, Huddle (Incubator)"
TREAD,Fitness startup,Pre-seed,1100000.0,Bangalore,A homegrown fitness startup that aims to advance the 'Fit India' initiative by offering holistic and affordable workouts.,2020,"Better Capital, Kunal Shah, Gaurav Munjal"
Anveshan,FoodTech,Pre-seed,100000.0,Bangalore,Provide quality and healthy food products,2020,Titan Capital
TeaMonk,Food & Beverage,Pre-series A,900000.0,Bangalore,India's Finest Specialty Tea company.,2020,"Lead Angels Network, Roots Ventures"
Fleetx,Tech Startup,Pre-series B,3000000.0,Gurgaon,"Fleetx is an intelligent data platform which uses AI, machine learning, sensors and predictive analytics to help fleet owners.",2020,"Rohit Bansal, Rohan Ranavat"
ReNEWate,Real Estate,Pre-seed,,Pune,"Tech platform helping millions of renovation contractors, property improvement professionals and businesses manage their business digitally.",2020,Real Estate Accelerator Program
Tango Eye,SaaS,Seed,,Chennai,Retail Video Analytics SaaS product,2020,"Riso Investments, Lenskart"
Rare Planet,Reatil startup,Pre-series A,,Kolkata,Rare Planet sells handicrafts made by local artisans.,2020,Venture Catalysts
Avataa Me,AR platform,Series A,7000000.0,Bangalore,AVATAAR.ME is a deep-tech 3D AR platform which delivers personalized fashion discovery experience to users on mobile devices.,2020,Sequoia Capital India
Arrival,EV startup,,118000000.0,London,Arrival is a technology company that specializes in developing electric vehicles.,2020,"UPS Ventures, Hyundai Motor Company"
Cover Genius,FinTech,,15000000.0,Sydney,Cover Genius provides an insurance distribution platform designed to protect the customers of e-commerce companies,2020,"King River Capital, Leap Capital"
